url/_text,url,pageUrl
Influence of connected and autonomous vehicles on traffic flow stability and throughput,http://www.sciencedirect.com/science/article/pii/S0968090X16301140,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058591422&_sort=r&_st=13&view=c&md5=cb3451c995cebf77b64c4902b308d390&searchtype=a
Driving to safety: How many miles of driving would it take to demonstrate autonomous vehicle reliability?,http://www.sciencedirect.com/science/article/pii/S0965856416302129,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058591422&_sort=r&_st=13&view=c&md5=cb3451c995cebf77b64c4902b308d390&searchtype=a
High-accuracy vehicle localization for autonomous warehousing,http://www.sciencedirect.com/science/article/pii/S0736584515300314,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058591422&_sort=r&_st=13&view=c&md5=cb3451c995cebf77b64c4902b308d390&searchtype=a
Human vs robot: Comparing the viability and utility of autonomous underwater vehicles for the acoustic telemetry tracking of marine organisms,http://www.sciencedirect.com/science/article/pii/S0022098116301502,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058591422&_sort=r&_st=13&view=c&md5=cb3451c995cebf77b64c4902b308d390&searchtype=a
Nonlinear heading control of an autonomous underwater vehicle with internal actuators,http://www.sciencedirect.com/science/article/pii/S0029801816303365,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058591422&_sort=r&_st=13&view=c&md5=cb3451c995cebf77b64c4902b308d390&searchtype=a
Robust fuzzy 3D path following for autonomous underwater vehicle subject to uncertainties,http://www.sciencedirect.com/science/article/pii/S0305054816302374,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058591422&_sort=r&_st=13&view=c&md5=cb3451c995cebf77b64c4902b308d390&searchtype=a
Planar path-following tracking control for an autonomous underwater vehicle in the horizontal plane,http://www.sciencedirect.com/science/article/pii/S0030402616311007,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058591422&_sort=r&_st=13&view=c&md5=cb3451c995cebf77b64c4902b308d390&searchtype=a
Model reference adaptive PID control with anti-windup compensator for an autonomous underwater vehicle,http://www.sciencedirect.com/science/article/pii/S0921889015303213,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058591422&_sort=r&_st=13&view=c&md5=cb3451c995cebf77b64c4902b308d390&searchtype=a
Route planning for agricultural tasks: A general approach for fleets of autonomous vehicles in site-specific herbicide applications,http://www.sciencedirect.com/science/article/pii/S0168169916303908,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058591422&_sort=r&_st=13&view=c&md5=cb3451c995cebf77b64c4902b308d390&searchtype=a
Preferences for shared autonomous vehicles,http://www.sciencedirect.com/science/article/pii/S0968090X16300870,http://www.sciencedirect.com/science?_ob=ArticleListURL&_method=list&_ArticleListID=-1058591422&_sort=r&_st=13&view=c&md5=cb3451c995cebf77b64c4902b308d390&searchtype=a
